Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Average Receivables,Average Overdue,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,fb_rating
30156128,01-05-2019,0,1,0,3272.75,0,28,EXCELLENT,6200,0.150094645,0.495146774,0.292225806,0
30156129,01-03-2019,0,2,0,2659.573333,280.9566667,30,STRUCTURAL OFFENDER,2500,0.104606631,0.348904,0.258312,0
30156130,01-01-2019,0,1,0,0,0,14,EXCELLENT,2500,0,0,0,0
30156132,01-04-2019,0,1,0,4854.708333,0,14,EXCELLENT,3700,0.202237095,0.832818919,0.613371351,0
30156133,01-10-2019,0,1,0,5136.441667,0,14,EXCELLENT,10000,0.000927802,0.197245,0.1964415,0
30156134,01-10-2019,0,1,0,7410.201667,-88.15,28,EXCELLENT,35000,0.030501999,0.239882571,0.199663714,4.8
30156135,01-08-2019,0,1,0,0,0,20,EXCELLENT,2500,0,0,0,4.2
30156144,01-11-2019,0,1,0,3896.238333,-298.3716667,14,EXCELLENT,16256,0.059916031,0.173851501,0.130956262,0
30156150,01-09-2019,0,2,0,4651.143333,0,21,EXCELLENT,15300,0.029222876,0.067481046,0.050789281,0
30156151,01-11-2019,0,1,0,4663.153333,-156.9633333,30,EXCELLENT,14600,0.080790205,0.484494521,0.408312329,0
30156154,01-05-2019,0,5,0,165000.5167,-45029.975,28,EXCELLENT,10440,0.22161221,1.277985632,1.011948994,3.54
30156170,01-03-2019,0,3,0,30772.14,-312.555,28,EXCELLENT,9900,0.136023815,0.476822222,0.350460354,0
30156172,01-06-2019,0,1,11358.9,5973.876667,-358.16,28,EXCELLENT,2500,0,9.08E-17,9.08E-17,4.3
30156195,01-07-2019,0,1,0,997.055,114.2266667,14,AVERAGE,2500,0.167681338,0.63732,0.457661,0
30156205,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,0
30156206,01-07-2019,0,1,0,5430.856667,158.5166667,14,AVERAGE,4900,0.191688763,0.3751,0.213060204,0
30156208,01-09-2019,0,119,0,26503330.74,-1870907.29,21,EXCELLENT,161100,0.541654359,1.615201614,1.079017877,0.736134454
30156215,01-08-2019,0,1,0,1955.561667,0,28,EXCELLENT,2500,0,0,0,1
30156220,01-07-2019,0,1,0,136.4133333,0,28,EXCELLENT,2500,0,0,0,0
30156222,01-09-2019,0,1,0,0,0,28,EXCELLENT,4000,0,0,0,3.2
30156224,01-11-2019,0,1,13868.4,15466.65667,-205.3333333,30,EXCELLENT,30000,0.025338441,0.181018333,0.149209833,0
30156231,01-10-2019,0,4,0,190,380,28,AVERAGE,2500,0,0,0,0
30156238,01-06-2019,0,2,2710.78,15938.27,-11.62,14,AVERAGE,5100,0.323530002,0.95587451,0.518289804,4.7
30156239,01-07-2019,0,1,0,2730.611667,0,9,EXCELLENT,2900,0.100624278,0.204889655,0.082406897,0
30156242,01-02-2019,0,1,8245.74,6127.985,-169.44,14,STRUCTURAL OFFENDER,2500,0.234782951,0,-0.203328,4.5
30156244,01-07-2019,0,1,6568.46,3256.595,-47.41,28,EXCELLENT,2500,0,-0.018964,-0.018964,4.2
30156245,01-05-2019,0,1,0,4084.93,3.578333333,14,AVERAGE,5100,0.067956341,0.413133333,0.355473039,4.2
30156246,01-10-2019,0,2,6148.84,28295.75333,-215.9433333,14,AVERAGE,50000,0.045158722,0.0881532,0.04904925,4.55
30156250,01-03-2019,0,1,7775.32,3869.953333,0,28,EXCELLENT,2500,0,6.84E-17,6.84E-17,4.3
30156251,01-12-2019,0,1,0,5493.371667,0,14,EXCELLENT,36500,0.048305181,0.130652877,0.08712789,4.3
30156252,01-08-2019,0,1,3808.6,7669.076667,-1517.721667,14,AVERAGE,0.01,0,-17478,-84665.25,4.6
30156254,01-09-2019,0,1,0,1639.34,0,14,EXCELLENT,13500,0,0,0,4.3
30156256,01-08-2019,0,2,0,7506.26,-24194.16667,28,EXCELLENT,50000,0,-0.233875,-0.233875,2.35
30156257,01-12-2019,0,2,7190.72,7190.72,0,28,EXCELLENT,2500,0,0,0,0
30156271,01-10-2019,0,1,0,927.2916667,-9144.24,30,EXCELLENT,9300,0,-0.983251613,-0.983251613,0
30156273,01-10-2019,0,1,0,1110.888333,244.1716667,14,STRUCTURAL OFFENDER,2500,0.144797172,0.593076,0.441685,4.5
30156275,01-06-2019,0,1,8390.52,26633.98167,-13164.22333,14,GOOD,11700,0.499392589,1.247012821,0.572484786,4.3
30156276,01-06-2019,0,1,0,697.7916667,0,28,AVERAGE,0.01,0,0,0,4.6
30156278,01-05-2019,0,1,0,0,0,14,EXCELLENT,4400,0,0,0,5
30156279,01-08-2019,0,1,0,0,0,14,EXCELLENT,0.01,0,0,0,4.7
30156285,01-03-2019,0,7,0,11569.96167,-4919.658333,28,EXCELLENT,0,0,0,0,0.628571429
30156292,01-07-2019,0,1,0,628.2316667,0,28,EXCELLENT,2500,0,0,0,0
30156293,01-01-2019,0,1,0,469.745,283.6533333,14,STRUCTURAL OFFENDER,2500,0.036264,0.072528,0.018132,0
30156294,01-09-2019,0,1,0,2949.888333,-28.12833333,14,EXCELLENT,3000,0.135845871,0.313663333,0.234066667,0
30156296,01-08-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,0
30156307,01-12-2019,0,1,0,813.045,0,14,GOOD,2500,0.044457758,0.178948,0.1288984,0
30156309,01-01-2019,0,1,0,4942.956667,0,14,EXCELLENT,5900,0.10342529,0.579725424,0.447768644,0
30156314,01-10-2019,0,1,0,3308.346667,-97.735,28,EXCELLENT,9000,0.083510048,0.390732222,0.305308333,0
30156315,01-08-2019,0,1,0,1748.575,0,14,EXCELLENT,5400,0.13394255,0.3279,0.159993519,0
30156316,01-10-2019,0,1,0,0,0,14,EXCELLENT,3000,0,0,0,0
30156317,01-12-2019,0,1,0,0,0,28,EXCELLENT,2500,0,0,0,4.8
30156318,01-12-2019,0,1,0,0,-1073.5,9,EXCELLENT,3000,0,-0.357833333,-0.357833333,0
30156322,01-05-2019,0,1,0,0,-4841.55,28,EXCELLENT,0.01,0,-484155,-484155,4.4
30156323,01-04-2019,0,1,0,0,0,14,EXCELLENT,5500,0,0,0,4.4
30156324,01-09-2019,0,1,0,0,-102.52,28,EXCELLENT,3000,0,-0.034173333,-0.034173333,0
30156327,01-10-2019,0,1,0,459.4033333,0,14,EXCELLENT,10200,0.059222553,0.102576471,0.051288235,0
30156329,01-09-2019,0,1,0,15264.66167,-17.81333333,21,EXCELLENT,50000,0.030200396,0.2299066,0.2048376,4.7
30156330,01-05-2019,0,1,0,0,-306.28,14,EXCELLENT,2500,0,-0.122512,-0.122512,4.8
30156340,01-08-2019,0,1,0,1163.108333,0,28,EXCELLENT,2900,0.101031601,0.208834483,0.15057931,0
30156343,01-06-2019,0,2,0,1970.686667,-1970.686667,28,EXCELLENT,2500,0,0,0,2.3
30156346,01-09-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,0
30156364,01-12-2019,0,1,0,0,0,28,STRUCTURAL OFFENDER,2500,0,0,0,4.7
30156369,01-10-2019,0,1,0,700.9266667,-2358.48,28,EXCELLENT,3000,0,-1.57232,-1.57232,4.4
30156374,01-09-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,0
30156377,01-11-2019,0,1,0,0,0,28,EXCELLENT,8000,0,0,0,4.7
30156380,01-11-2019,0,4,0,0,0,28,EXCELLENT,8000,0,0,0,0
30156381,01-01-2019,0,6,0,0,0,28,EXCELLENT,2500,0,0,0,0.783333333
30156382,01-11-2019,0,1,0,0,0,28,EXCELLENT,8000,0,0,0,4.7
30156385,01-09-2019,0,3,0,3179.895,1298.085,28,STRUCTURAL OFFENDER,3500,0.072476236,0.327285714,0.211444571,1.5
30156440,01-06-2019,0,1,0,3208.371667,-3208.371667,28,EXCELLENT,2500,0,0,0,0
30156447,01-07-2019,0,1,0,9.68,0,28,EXCELLENT,19000,0,0,0,0
30156450,01-08-2019,0,1,0,29.04,-87.12,28,EXCELLENT,2500,0,-0.034848,-0.034848,0
30156451,01-06-2019,0,1,0,0,0,28,EXCELLENT,3100,0,0,0,0
30156452,01-07-2019,0,1,0,3156.083333,0,28,EXCELLENT,29000,0,0,0,0
30156458,01-09-2019,0,1,0,0,0,28,EXCELLENT,3000,0,0,0,0
