Payer,Bankruptcy month,FLAG_BAD_DEBT,# POCs,Rent,Perc Rent,Average Receivables,Average Overdue,Overdue,1 - 29 Days,30 - 59 Days,60 - 89 Days,Payment Term,Payment Term Days,Payment Behavior Status,Credit Limit,Std Dev AR,Max Credit Utilization,Avg Credit Utilization,Score Interval,Volume Variance,fb_likes,fb_rating,ta_reviews_average,w_avg_rating,FLAG_RENT_0,FLAG_RENT_1,sub_segment_Beer Bar,sub_segment_Beer bar,sub_segment_Bistro,sub_segment_Local Bar,sub_segment_Lounge Bar,sub_segment_Not applicable,sub_segment_Party Club,sub_segment_Party Pub,sub_segment_Quick Dining,sub_segment_Recreational,sub_segment_Restaurant,sub_segment_Sports Bar,sub_segment_Sports Club,poc_image_Mainstream,poc_image_Premium
30157452,2019-05-01,0,1,0.0,0.0,50.82,-101.64,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.0,0.0,0.0,0.0,1.9772051536174429,0.0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30157454,2019-11-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,9000.0,0.0,0.0,0.0,708.6516799999998,1.4627830433160676,3364.0,4.6,4.5,4.588689407540394,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30157455,2019-09-01,0,1,0.0,0.0,10584.87,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,65000.0,0.06076167609230769,0.13922076923076926,0.05565209230769231,721.68168,2.036879278018241,0.0,0.0,0.0,4.2,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30157456,2019-03-01,0,1,0.0,0.0,9810.895,-84.07000000000002,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,11600.0,0.1945898450862069,0.5534163793103448,0.4184890086206897,721.68168,3.134754513253225,0.0,4.6,0.0,4.535820895522388,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30157462,2019-03-01,0,1,0.0,0.0,9061.403333333334,0.0,0.0,0.0,0.0,0.0,014I,14,EXCELLENT,2500.0,0.3833908198800001,1.060476,0.696587,0.0,0.0,0.0,0.0,0.0,4.1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30157465,2019-07-01,0,1,0.0,0.0,315.50666666666666,0.0,0.0,0.0,0.0,0.0,014I,14,AVERAGE,2500.0,0.040334,0.08066799999999999,0.020167,689.20208,1.279074085535681,0.0,0.0,0.0,3.2999999999999994,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30157469,2019-05-01,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,19100.0,0.0,0.0,0.0,679.15328,4.573178384076703,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
30157470,2019-12-01,0,1,0.0,0.0,11906.794999999998,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,70000.0,0.01679391957142856,0.06733700000000001,0.056324428571428574,693.1634,0.9984493334782324,0.0,0.0,0.0,4.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30157473,2019-10-01,0,1,0.0,0.0,7493.478333333333,-950.7316666666667,-2.0,0.0,0.0,0.0,028I,28,EXCELLENT,19800.0,0.16597285464646466,0.6697828282828283,0.4839152777777777,721.68168,1.2104738045177221,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30157476,2019-07-01,0,1,0.0,0.0,4250.986666666667,722.4699999999998,0.0,0.0,0.0,0.0,014I,14,AVERAGE,10500.0,0.08333852281904762,0.17096,0.10336261904761904,654.656,1.96421497684014,0.0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30157477,2019-11-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,028I,28,EXCELLENT,8000.0,0.0,0.0,0.0,655.5992,2.831904911596018,0.0,0.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30157479,2019-09-01,0,1,3318.0600000000004,0.5765723545284495,1913.1016666666671,816.055,1632.11,0.0,0.0,0.0,028I,28,STRUCTURAL OFFENDER,4000.0,0.0,0.4080275,0.4080275,690.7752,0.8459318391157505,0.0,0.0,0.0,4.6,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30157480,2019-10-01,0,1,4002.32,0.7301548435240893,2922.313333333333,-610.9283333333334,776.57,2001.16,-90.63,329.19,014I,14,GOOD,0.01,0.0,277773.0,127686.0,617.99028,0.0,0.0,4.7,0.0,4.228571428571429,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30157482,2019-09-01,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,021I,21,EXCELLENT,4000.0,0.0,0.0,0.0,679.15328,2.0271259663483403,0.0,0.0,0.0,3.8,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
